"","company_name","total"
"23441","Verdiem",40812
"23454","Verimatrix",42973
"23457","Verious",49870
"23458","VeriSilicon Holdings",47574
"23478","Versartis",47812
"23523","Viadeo",35914
"23539","Vicarious",67809
"23566","VideoIQ",38006
"23593","Vidyo",53005
"23596","View Inc.",60138
"23607","ViewRay",51080
"23616","VigLink",51593
"23624","Viki",56730
"23660","ViralGains",70125
"23674","Virident Systems",49085
"23682","Virool",89461
"23707","Virtustream",45664
"23708","Visage Mobile",35894
"23717","Visible Technologies",51923
"23718","Visible World",45264
"23736","Visterra",48289
"23737","Visto",63229
"23743","Visual.ly",51938
"23789","VivaReal",45045
"23807","Vivox",40915
"23911","Vox Media",34884
"23926","Voxy",55863
"23934","VPIsystems",51843
"23940","Vsnap",70972
"23956","Vungle",74208
"24026","Wantering",52771
"24035","Warby Parker",48246
"24048","WatchDox",47266
"24059","WaterSmart Software",50009
"24101","Wealthfront",45870
"24160","WeDeliver",59844
"24234","Weplay",50328
"24259","What's in My Handbag",39896
"24321","whodoyou",41880
"24381","WillCall",35627
"24480","Wiztango",37400
"24528","Workday",41738
"24564","Worldly Developments",69819
"24621","Xactly Corp",74238
"24633","Xanodyne",35658
"24636","XAware",35373
"24651","XDx",36937
"24670","Xeround",43958
"24714","Xobni",82414
"24717","Xoom Corporation",40650
"24773","Yammer",83862
"24785","Yardbarker Network",51126
"24823","Yellowsmith",50600
"24847","Yieldbot",39515
"24918","Youku",44896
"24961","YuMe",73240
"24990","Zafgen",40865
"25038","ZBD Displays",35695
"25040","Ze Frank Games",43186
"25057","ZEFR",72034
"25067","Zend Technologies",68754
"25070","Zendesk",51324
"25081","ZenPayroll",95445
"25084","Zenprise",58476
"25093","Zenverge",52358
"25120","ZestFinance",38261
"25130","Zettics",61949
"25132","Zeugma Systems",48705
"25196","Zipit Wireless",75415
"25208","Ziptronix",36953
"25223","Zodio",49897
"25226","Zogenix",51612
"25231","Zola Books",38180
"25270","Zoosk",40202
"25275","Zosano Pharma",39626
"25279","zozi",67516
"25281","ZS Pharma",62642
"25300","Zuora",88746
"25320","Zynga",56153
